8|3|9|6|21|5|1|21|21|10
8|3|9|6|17|21|21|11|19|21
8|3|9|6|3|21|21|7|15|21
8|3|9|6|12|21|21|2|15|21
8|3|9|6|21|19|14|21|21|8
8|3|9|6|21|7|16|21|21|16
8|3|9|6|21|14|9|21|21|10
8|3|9|6|21|9|14|21|21|15
7|8|3|4|21|0|13|21|21|16
7|8|3|4|21|4|15|21|21|1
7|8|3|4|8|21|21|14|17|21
7|8|3|4|21|3|13|21|21|13
7|8|3|4|19|21|21|18|0|21
5|6|7|8|21|11|19|21|21|8
5|6|7|8|8|21|21|16|9|21
5|6|7|8|3|21|21|17|19|21
5|6|7|8|21|9|8|21|21|5
5|6|7|8|14|21|21|3|15|21
5|6|7|8|21|7|1|21|21|17
5|6|7|8|21|18|17|21|21|11
1|2|5|6|21|18|6|21|21|2
1|2|5|6|21|2|8|21|21|9
1|2|5|6|21|10|6|21|21|19
1|2|5|6|1|21|21|18|13|21
1|2|5|6|21|18|3|21|21|2
1|2|3|4|2|21|21|8|17|21
1|2|3|4|21|8|14|21|21|13
1|2|3|4|11|21|21|4|4|21
1|2|3|4|13|21|21|10|6|21
1|2|3|4|8|0|0|8|5|5
